task,epoch,lr,train_loss,train_token_acc,val_loss,val_token_acc
sudoku9,1,0.001,33.701581976306976,0.5557283950617284,27.768591141336252,0.6129446277961129
sudoku9,2,0.001,26.616670664439578,0.6326897119341564,26.050698773844513,0.6462767288567259
sudoku9,3,0.001,25.20658221173642,0.6506374485596708,24.54029674314581,0.654540343878843
sudoku9,4,0.001,24.199583703266786,0.658637037037037,24.070613042533978,0.6595975969630726
sudoku9,5,0.001,23.664140161420743,0.6655485596707819,23.862580005599124,0.6619205770446982
